budget_range,weather_preference,fantasy_type,event_interest,destination
1000,Tropical,Adventure,Hiking,Yellowstone
1500,Tropical,Luxury,Beaches,Maldives
8000,Snowy,Budget-friendly,Skiing,Aspen
2000,Moderate,Cultural,Museums,Rome
1200,Tropical,Adventure,Wildlife,Kenya Safari
1000,Tropical,Adventure,Camping,Yellowstone
2000,Tropical,Adventure,Camping,Kenya Safari
5000,Moderate,Cultural,History,Rome
1000,Tropical,Luxury,Spa,Maldives
2000,Snowy,Budget-friendly,Travel,Ladakh
3000,Snowy,Budget-friendly,Skiing,Auli
4000,Snowy,Adventure,Camping,Manali
5000,Snowy,Cultural,History,Switzerland
8000,Snowy,Luxury,Trip,Sweden
2000,Tropical,Budget-friendly,Beaches,Goa
30000,Tropical,Budget-friendly,Spa,Thailand
10000,Tropical,Cultural,History,Thailand
10000,Tropical,Cultural,Museums,spain
2000,Tropical,Romantic-Getaway,Light Show,Paris
1500,Tropical,Romantic-Getaway,Light Show,France
1000,Mild Spring,Cultural,Cherry Blossom,Kyoto
2500,Mild Spring,Cultural,Cherry Blossom,Japan
1500,Summers,Island Retreat,Sunset View,Santorini
4000,Summers,Island Retreat,Sunset View,Santorini
800,Moderate,Adventure,Private Villa,Bali
2000,Summers,Adventure,Private Villa,Bali
2000,Summers,Luxury,Desert Safari,Dubai
6000,Summers,Luxury,Desert Safari,Dubai
1500,Snowy,Romantic-Getaway,Gondola Ride ,Venice
3500,Moderate,Romantic-Getaway,Gondola Ride ,Venice
1000,Snowy,Adventure,Air Bolloon Ride,Cappadocia
2500,Snowy,Adventure,Air Bolloon Ride,Cappadocia
2500,Winter,Adventure,Norther Lights,Iceland
5000,Winter,Adventure,Norther Lights,Iceland
1000,Summers,Casinos,Concert,Las Vegas
3000,Summers,Casinos,Concert,Las Vegas
3000,Tropical,Luxury,Travel,Bora Bora
7000,Tropical,Luxury,Travel,Bora Bora
1500,Winter,Adventure,Travel,New York City
4000,Moderate,Adventure,Travel,New York City
500,Summers,Adventure,History,Jaipur
3658,Rainy,Romantic,Beaches,Tokyo
2880,Snowy,Luxury,Nightlife,Rome
8421,Moderate,Budget-friendly,Museums,Aspen
5601,Desert,Luxury,Hiking,Aspen
8041,Moderate,Luxury,Festivals,Maldives
4200,Tropical,Wellness,Nightlife,Tokyo
6314,Tropical,Romantic,Wildlife,Paris
2805,Rainy,Romantic,Beaches,Paris
5634,Moderate,Wellness,Nightlife,Tokyo
4089,Snowy,Romantic,Hiking,Bali
6364,Rainy,Budget-friendly,Wildlife,Tokyo
2000,Tropical,Adventure,Beaches,Dubai
1932,Moderate,Luxury,Wildlife,Yellowstone
5748,Rainy,Cultural,Festivals,Maldives
2342,Desert,Budget-friendly,Festivals,Maldives
9070,Tropical,Cultural,Museums,Aspen
6776,Rainy,Budget-friendly,Skiing,Maldives
1994,Moderate,Cultural,Festivals,Paris
2682,Moderate,Romantic,Nightlife,Rome
7882,Tropical,Adventure,Hiking,Tokyo
9732,Moderate,Romantic,Beaches,Paris
2663,Tropical,Wellness,Wildlife,Yellowstone
841,Rainy,Wellness,Nightlife,Kenya Safari
4987,Snowy,Luxury,Festivals,Maldives
7199,Moderate,Cultural,Hiking,Paris
5566,Desert,Cultural,Camping,Aspen
541,Desert,Romantic,Festivals,Kenya Safari
8240,Desert,Adventure,Museums,Tokyo
3395,Desert,Adventure,Festivals,Bali
